country,continent,year,gdpPercap
Afghanistan,Asia,1952,779.4453145
Afghanistan,Asia,1957,820.8530296
Afghanistan,Asia,1962,853.10071
Afghanistan,Asia,1967,836.1971382
Afghanistan,Asia,1972,739.9811058
Afghanistan,Asia,1977,786.11336
Afghanistan,Asia,1982,978.0114388
Afghanistan,Asia,1987,852.3959448
Afghanistan,Asia,1992,649.3413952
Afghanistan,Asia,1997,635.341351
Afghanistan,Asia,2002,726.7340548
Afghanistan,Asia,2007,974.5803384
Albania,Europe,1952,1601.056136
Albania,Europe,1957,1942.284244
Albania,Europe,1962,2312.888958
Albania,Europe,1967,2760.196931
Albania,Europe,1972,3313.422188
Albania,Europe,1977,3533.00391
Albania,Europe,1982,3630.880722
Albania,Europe,1987,3738.932735
Albania,Europe,1992,2497.437901
Albania,Europe,1997,3193.054604
Albania,Europe,2002,4604.211737
Albania,Europe,2007,5937.029526
Algeria,Africa,1952,2449.008185
Algeria,Africa,1957,3013.976023
Algeria,Africa,1962,2550.81688
Algeria,Africa,1967,3246.991771
Algeria,Africa,1972,4182.663766
Algeria,Africa,1977,4910.416756
Algeria,Africa,1982,5745.160213
Algeria,Africa,1987,5681.358539
Algeria,Africa,1992,5023.216647
Algeria,Africa,1997,4797.295051
Algeria,Africa,2002,5288.040382
Algeria,Africa,2007,6223.367465
Angola,Africa,1952,3520.610273
Angola,Africa,1957,3827.940465
Angola,Africa,1962,4269.276742
Angola,Africa,1967,5522.776375
Angola,Africa,1972,5473.288005
Angola,Africa,1977,3008.647355
Angola,Africa,1982,2756.953672
Angola,Africa,1987,2430.208311
Angola,Africa,1992,2627.845685
Angola,Africa,1997,2277.140884
Angola,Africa,2002,2773.287312
Angola,Africa,2007,4797.231267
Argentina,Americas,1952,5911.315053
Argentina,Americas,1957,6856.856212
Argentina,Americas,1962,7133.166023
Argentina,Americas,1967,8052.953021
Argentina,Americas,1972,9443.038526
Argentina,Americas,1977,10079.02674
Argentina,Americas,1982,8997.897412
Argentina,Americas,1987,9139.671389
Argentina,Americas,1992,9308.41871
Argentina,Americas,1997,10967.28195
Argentina,Americas,2002,8797.640716
Argentina,Americas,2007,12779.37964
Australia,Oceania,1952,10039.59564
Australia,Oceania,1957,10949.64959
Australia,Oceania,1962,12217.22686
Australia,Oceania,1967,14526.12465
Australia,Oceania,1972,16788.62948
Australia,Oceania,1977,18334.19751
Australia,Oceania,1982,19477.00928
Australia,Oceania,1987,21888.88903
Australia,Oceania,1992,23424.76683
Australia,Oceania,1997,26997.93657
Australia,Oceania,2002,30687.75473
Australia,Oceania,2007,34435.36744
Austria,Europe,1952,6137.076492
Austria,Europe,1957,8842.59803
Austria,Europe,1962,10750.72111
Austria,Europe,1967,12834.6024
Austria,Europe,1972,16661.6256
Austria,Europe,1977,19749.4223
Austria,Europe,1982,21597.08362
Austria,Europe,1987,23687.82607
Austria,Europe,1992,27042.01868
Austria,Europe,1997,29095.92066
Austria,Europe,2002,32417.60769
Austria,Europe,2007,36126.4927
Bahrain,Asia,1952,9867.084765
Bahrain,Asia,1957,11635.79945
Bahrain,Asia,1962,12753.27514
Bahrain,Asia,1967,14804.6727
Bahrain,Asia,1972,18268.65839
Bahrain,Asia,1977,19340.10196
Bahrain,Asia,1982,19211.14731
Bahrain,Asia,1987,18524.02406
Bahrain,Asia,1992,19035.57917
Bahrain,Asia,1997,20292.01679
Bahrain,Asia,2002,23403.55927
Bahrain,Asia,2007,29796.04834
Bangladesh,Asia,1952,684.2441716
Bangladesh,Asia,1957,661.6374577
Bangladesh,Asia,1962,686.3415538
Bangladesh,Asia,1967,721.1860862
Bangladesh,Asia,1972,630.2336265
Bangladesh,Asia,1977,659.8772322
Bangladesh,Asia,1982,676.9818656
Bangladesh,Asia,1987,751.9794035
Bangladesh,Asia,1992,837.8101643
Bangladesh,Asia,1997,972.7700352
Bangladesh,Asia,2002,1136.39043
Bangladesh,Asia,2007,1391.253792
Belgium,Europe,1952,8343.105127
Belgium,Europe,1957,9714.960623
Belgium,Europe,1962,10991.20676
Belgium,Europe,1967,13149.04119
Belgium,Europe,1972,16672.14356
Belgium,Europe,1977,19117.97448
Belgium,Europe,1982,20979.84589
Belgium,Europe,1987,22525.56308
Belgium,Europe,1992,25575.57069
Belgium,Europe,1997,27561.19663
Belgium,Europe,2002,30485.88375
Belgium,Europe,2007,33692.60508
Benin,Africa,1952,1062.7522
Benin,Africa,1957,959.6010805
Benin,Africa,1962,949.4990641
Benin,Africa,1967,1035.831411
Benin,Africa,1972,1085.796879
Benin,Africa,1977,1029.161251
Benin,Africa,1982,1277.897616
Benin,Africa,1987,1225.85601
Benin,Africa,1992,1191.207681
Benin,Africa,1997,1232.975292
Benin,Africa,2002,1372.877931
Benin,Africa,2007,1441.284873
Bolivia,Americas,1952,2677.326347
Bolivia,Americas,1957,2127.686326
Bolivia,Americas,1962,2180.972546
Bolivia,Americas,1967,2586.886053
Bolivia,Americas,1972,2980.331339
Bolivia,Americas,1977,3548.097832
Bolivia,Americas,1982,3156.510452
Bolivia,Americas,1987,2753.69149
Bolivia,Americas,1992,2961.699694
Bolivia,Americas,1997,3326.143191
Bolivia,Americas,2002,3413.26269
Bolivia,Americas,2007,3822.137084
Bosnia and Herzegovina,Europe,1952,973.5331948
Bosnia and Herzegovina,Europe,1957,1353.989176
Bosnia and Herzegovina,Europe,1962,1709.683679
Bosnia and Herzegovina,Europe,1967,2172.352423
Bosnia and Herzegovina,Europe,1972,2860.16975
Bosnia and Herzegovina,Europe,1977,3528.481305
Bosnia and Herzegovina,Europe,1982,4126.613157
Bosnia and Herzegovina,Europe,1987,4314.114757
Bosnia and Herzegovina,Europe,1992,2546.781445
Bosnia and Herzegovina,Europe,1997,4766.355904
Bosnia and Herzegovina,Europe,2002,6018.975239
Bosnia and Herzegovina,Europe,2007,7446.298803
Botswana,Africa,1952,851.2411407
Botswana,Africa,1957,918.2325349
Botswana,Africa,1962,983.6539764
Botswana,Africa,1967,1214.709294
Botswana,Africa,1972,2263.611114
Botswana,Africa,1977,3214.857818
Botswana,Africa,1982,4551.14215
Botswana,Africa,1987,6205.88385
Botswana,Africa,1992,7954.111645
Botswana,Africa,1997,8647.142313
Botswana,Africa,2002,11003.60508
Botswana,Africa,2007,12569.85177
Brazil,Americas,1952,2108.944355
Brazil,Americas,1957,2487.365989
Brazil,Americas,1962,3336.585802
Brazil,Americas,1967,3429.864357
Brazil,Americas,1972,4985.711467
Brazil,Americas,1977,6660.118654
Brazil,Americas,1982,7030.835878
Brazil,Americas,1987,7807.095818
Brazil,Americas,1992,6950.283021
Brazil,Americas,1997,7957.980824
Brazil,Americas,2002,8131.212843
Brazil,Americas,2007,9065.800825
Bulgaria,Europe,1952,2444.286648
Bulgaria,Europe,1957,3008.670727
Bulgaria,Europe,1962,4254.337839
Bulgaria,Europe,1967,5577.0028
Bulgaria,Europe,1972,6597.494398
Bulgaria,Europe,1977,7612.240438
Bulgaria,Europe,1982,8224.191647
Bulgaria,Europe,1987,8239.854824
Bulgaria,Europe,1992,6302.623438
Bulgaria,Europe,1997,5970.38876
Bulgaria,Europe,2002,7696.777725
Bulgaria,Europe,2007,10680.79282
Burkina Faso,Africa,1952,543.2552413
Burkina Faso,Africa,1957,617.1834648
Burkina Faso,Africa,1962,722.5120206
Burkina Faso,Africa,1967,794.8265597
Burkina Faso,Africa,1972,854.7359763
Burkina Faso,Africa,1977,743.3870368
Burkina Faso,Africa,1982,807.1985855
Burkina Faso,Africa,1987,912.0631417
Burkina Faso,Africa,1992,931.7527731
Burkina Faso,Africa,1997,946.2949618
Burkina Faso,Africa,2002,1037.645221
Burkina Faso,Africa,2007,1217.032994
Burundi,Africa,1952,339.2964587
Burundi,Africa,1957,379.5646281
Burundi,Africa,1962,355.2032273
Burundi,Africa,1967,412.9775136
Burundi,Africa,1972,464.0995039
Burundi,Africa,1977,556.1032651
Burundi,Africa,1982,559.603231
Burundi,Africa,1987,621.8188189
Burundi,Africa,1992,631.6998778
Burundi,Africa,1997,463.1151478
Burundi,Africa,2002,446.4035126
Burundi,Africa,2007,430.0706916
Cambodia,Asia,1952,368.4692856
Cambodia,Asia,1957,434.0383364
Cambodia,Asia,1962,496.9136476
Cambodia,Asia,1967,523.4323142
Cambodia,Asia,1972,421.6240257
Cambodia,Asia,1977,524.9721832
Cambodia,Asia,1982,624.4754784
Cambodia,Asia,1987,683.8955732
Cambodia,Asia,1992,682.3031755
Cambodia,Asia,1997,734.28517
Cambodia,Asia,2002,896.2260153
Cambodia,Asia,2007,1713.778686
Cameroon,Africa,1952,1172.667655
Cameroon,Africa,1957,1313.048099
Cameroon,Africa,1962,1399.607441
Cameroon,Africa,1967,1508.453148
Cameroon,Africa,1972,1684.146528
Cameroon,Africa,1977,1783.432873
Cameroon,Africa,1982,2367.983282
Cameroon,Africa,1987,2602.664206
Cameroon,Africa,1992,1793.163278
Cameroon,Africa,1997,1694.337469
Cameroon,Africa,2002,1934.011449
Cameroon,Africa,2007,2042.09524
Canada,Americas,1952,11367.16112
Canada,Americas,1957,12489.95006
Canada,Americas,1962,13462.48555
Canada,Americas,1967,16076.58803
Canada,Americas,1972,18970.57086
Canada,Americas,1977,22090.88306
Canada,Americas,1982,22898.79214
Canada,Americas,1987,26626.51503
Canada,Americas,1992,26342.88426
Canada,Americas,1997,28954.92589
Canada,Americas,2002,33328.96507
Canada,Americas,2007,36319.23501
Central African Republic,Africa,1952,1071.310713
Central African Republic,Africa,1957,1190.844328
Central African Republic,Africa,1962,1193.068753
Central African Republic,Africa,1967,1136.056615
Central African Republic,Africa,1972,1070.013275
Central African Republic,Africa,1977,1109.374338
Central African Republic,Africa,1982,956.7529907
Central African Republic,Africa,1987,844.8763504
Central African Republic,Africa,1992,747.9055252
Central African Republic,Africa,1997,740.5063317
Central African Republic,Africa,2002,738.6906068
Central African Republic,Africa,2007,706.016537
Chad,Africa,1952,1178.665927
Chad,Africa,1957,1308.495577
Chad,Africa,1962,1389.817618
Chad,Africa,1967,1196.810565
Chad,Africa,1972,1104.103987
Chad,Africa,1977,1133.98495
Chad,Africa,1982,797.9081006
Chad,Africa,1987,952.386129
Chad,Africa,1992,1058.0643
Chad,Africa,1997,1004.961353
Chad,Africa,2002,1156.18186
Chad,Africa,2007,1704.063724
Chile,Americas,1952,3939.978789
Chile,Americas,1957,4315.622723
Chile,Americas,1962,4519.094331
Chile,Americas,1967,5106.654313
Chile,Americas,1972,5494.024437
Chile,Americas,1977,4756.763836
Chile,Americas,1982,5095.665738
Chile,Americas,1987,5547.063754
Chile,Americas,1992,7596.125964
Chile,Americas,1997,10118.05318
Chile,Americas,2002,10778.78385
Chile,Americas,2007,13171.63885
China,Asia,1952,400.448611
China,Asia,1957,575.9870009
China,Asia,1962,487.6740183
China,Asia,1967,612.7056934
China,Asia,1972,676.9000921
China,Asia,1977,741.2374699
China,Asia,1982,962.4213805
China,Asia,1987,1378.904018
China,Asia,1992,1655.784158
China,Asia,1997,2289.234136
China,Asia,2002,3119.280896
China,Asia,2007,4959.114854
Colombia,Americas,1952,2144.115096
Colombia,Americas,1957,2323.805581
Colombia,Americas,1962,2492.351109
Colombia,Americas,1967,2678.729839
Colombia,Americas,1972,3264.660041
Colombia,Americas,1977,3815.80787
Colombia,Americas,1982,4397.575659
Colombia,Americas,1987,4903.2191
Colombia,Americas,1992,5444.648617
Colombia,Americas,1997,6117.361746
Colombia,Americas,2002,5755.259962
Colombia,Americas,2007,7006.580419
Comoros,Africa,1952,1102.990936
Comoros,Africa,1957,1211.148548
Comoros,Africa,1962,1406.648278
Comoros,Africa,1967,1876.029643
Comoros,Africa,1972,1937.577675
Comoros,Africa,1977,1172.603047
Comoros,Africa,1982,1267.100083
Comoros,Africa,1987,1315.980812
Comoros,Africa,1992,1246.90737
Comoros,Africa,1997,1173.618235
Comoros,Africa,2002,1075.811558
Comoros,Africa,2007,986.1478792
"Congo, Dem. Rep.",Africa,1952,780.5423257
"Congo, Dem. Rep.",Africa,1957,905.8602303
"Congo, Dem. Rep.",Africa,1962,896.3146335
"Congo, Dem. Rep.",Africa,1967,861.5932424
"Congo, Dem. Rep.",Africa,1972,904.8960685
"Congo, Dem. Rep.",Africa,1977,795.757282
"Congo, Dem. Rep.",Africa,1982,673.7478181
"Congo, Dem. Rep.",Africa,1987,672.774812
"Congo, Dem. Rep.",Africa,1992,457.7191807
"Congo, Dem. Rep.",Africa,1997,312.188423
"Congo, Dem. Rep.",Africa,2002,241.1658765
"Congo, Dem. Rep.",Africa,2007,277.5518587
"Congo, Rep.",Africa,1952,2125.621418
"Congo, Rep.",Africa,1957,2315.056572
"Congo, Rep.",Africa,1962,2464.783157
"Congo, Rep.",Africa,1967,2677.939642
"Congo, Rep.",Africa,1972,3213.152683
"Congo, Rep.",Africa,1977,3259.178978
"Congo, Rep.",Africa,1982,4879.507522
"Congo, Rep.",Africa,1987,4201.194937
"Congo, Rep.",Africa,1992,4016.239529
"Congo, Rep.",Africa,1997,3484.164376
"Congo, Rep.",Africa,2002,3484.06197
"Congo, Rep.",Africa,2007,3632.557798
Costa Rica,Americas,1952,2627.009471
Costa Rica,Americas,1957,2990.010802
Costa Rica,Americas,1962,3460.937025
Costa Rica,Americas,1967,4161.727834
Costa Rica,Americas,1972,5118.146939
Costa Rica,Americas,1977,5926.876967
Costa Rica,Americas,1982,5262.734751
Costa Rica,Americas,1987,5629.915318
Costa Rica,Americas,1992,6160.416317
Costa Rica,Americas,1997,6677.045314
Costa Rica,Americas,2002,7723.447195
Costa Rica,Americas,2007,9645.06142
Cote d'Ivoire,Africa,1952,1388.594732
Cote d'Ivoire,Africa,1957,1500.895925
Cote d'Ivoire,Africa,1962,1728.869428
Cote d'Ivoire,Africa,1967,2052.050473
Cote d'Ivoire,Africa,1972,2378.201111
Cote d'Ivoire,Africa,1977,2517.736547
Cote d'Ivoire,Africa,1982,2602.710169
Cote d'Ivoire,Africa,1987,2156.956069
Cote d'Ivoire,Africa,1992,1648.073791
Cote d'Ivoire,Africa,1997,1786.265407
Cote d'Ivoire,Africa,2002,1648.800823
Cote d'Ivoire,Africa,2007,1544.750112
Croatia,Europe,1952,3119.23652
Croatia,Europe,1957,4338.231617
Croatia,Europe,1962,5477.890018
Croatia,Europe,1967,6960.297861
Croatia,Europe,1972,9164.090127
Croatia,Europe,1977,11305.38517
Croatia,Europe,1982,13221.82184
Croatia,Europe,1987,13822.58394
Croatia,Europe,1992,8447.794873
Croatia,Europe,1997,9875.604515
Croatia,Europe,2002,11628.38895
Croatia,Europe,2007,14619.22272
Cuba,Americas,1952,5586.53878
Cuba,Americas,1957,6092.174359
Cuba,Americas,1962,5180.75591
Cuba,Americas,1967,5690.268015
Cuba,Americas,1972,5305.445256
Cuba,Americas,1977,6380.494966
Cuba,Americas,1982,7316.918107
Cuba,Americas,1987,7532.924763
Cuba,Americas,1992,5592.843963
Cuba,Americas,1997,5431.990415
Cuba,Americas,2002,6340.646683
Cuba,Americas,2007,8948.102923
Czech Republic,Europe,1952,6876.14025
Czech Republic,Europe,1957,8256.343918
Czech Republic,Europe,1962,10136.86713
Czech Republic,Europe,1967,11399.44489
Czech Republic,Europe,1972,13108.4536
Czech Republic,Europe,1977,14800.16062
Czech Republic,Europe,1982,15377.22855
Czech Republic,Europe,1987,16310.4434
Czech Republic,Europe,1992,14297.02122
Czech Republic,Europe,1997,16048.51424
Czech Republic,Europe,2002,17596.21022
Czech Republic,Europe,2007,22833.30851
Denmark,Europe,1952,9692.385245
Denmark,Europe,1957,11099.65935
Denmark,Europe,1962,13583.31351
Denmark,Europe,1967,15937.21123
Denmark,Europe,1972,18866.20721
Denmark,Europe,1977,20422.9015
Denmark,Europe,1982,21688.04048
Denmark,Europe,1987,25116.17581
Denmark,Europe,1992,26406.73985
Denmark,Europe,1997,29804.34567
Denmark,Europe,2002,32166.50006
Denmark,Europe,2007,35278.41874
Djibouti,Africa,1952,2669.529475
Djibouti,Africa,1957,2864.969076
Djibouti,Africa,1962,3020.989263
Djibouti,Africa,1967,3020.050513
Djibouti,Africa,1972,3694.212352
Djibouti,Africa,1977,3081.761022
Djibouti,Africa,1982,2879.468067
Djibouti,Africa,1987,2880.102568
Djibouti,Africa,1992,2377.156192
Djibouti,Africa,1997,1895.016984
Djibouti,Africa,2002,1908.260867
Djibouti,Africa,2007,2082.481567
Dominican Republic,Americas,1952,1397.717137
Dominican Republic,Americas,1957,1544.402995
Dominican Republic,Americas,1962,1662.137359
Dominican Republic,Americas,1967,1653.723003
Dominican Republic,Americas,1972,2189.874499
Dominican Republic,Americas,1977,2681.9889
Dominican Republic,Americas,1982,2861.092386
Dominican Republic,Americas,1987,2899.842175
Dominican Republic,Americas,1992,3044.214214
Dominican Republic,Americas,1997,3614.101285
Dominican Republic,Americas,2002,4563.808154
Dominican Republic,Americas,2007,6025.374752
Ecuador,Americas,1952,3522.110717
Ecuador,Americas,1957,3780.546651
Ecuador,Americas,1962,4086.114078
Ecuador,Americas,1967,4579.074215
Ecuador,Americas,1972,5280.99471
Ecuador,Americas,1977,6679.62326
Ecuador,Americas,1982,7213.791267
Ecuador,Americas,1987,6481.776993
Ecuador,Americas,1992,7103.702595
Ecuador,Americas,1997,7429.455877
Ecuador,Americas,2002,5773.044512
Ecuador,Americas,2007,6873.262326
Egypt,Africa,1952,1418.822445
Egypt,Africa,1957,1458.915272
Egypt,Africa,1962,1693.335853
Egypt,Africa,1967,1814.880728
Egypt,Africa,1972,2024.008147
Egypt,Africa,1977,2785.493582
Egypt,Africa,1982,3503.729636
Egypt,Africa,1987,3885.46071
Egypt,Africa,1992,3794.755195
Egypt,Africa,1997,4173.181797
Egypt,Africa,2002,4754.604414
Egypt,Africa,2007,5581.180998
El Salvador,Americas,1952,3048.3029
El Salvador,Americas,1957,3421.523218
El Salvador,Americas,1962,3776.803627
El Salvador,Americas,1967,4358.595393
El Salvador,Americas,1972,4520.246008
El Salvador,Americas,1977,5138.922374
El Salvador,Americas,1982,4098.344175
El Salvador,Americas,1987,4140.442097
El Salvador,Americas,1992,4444.2317
El Salvador,Americas,1997,5154.825496
El Salvador,Americas,2002,5351.568666
El Salvador,Americas,2007,5728.353514
Equatorial Guinea,Africa,1952,375.6431231
Equatorial Guinea,Africa,1957,426.0964081
Equatorial Guinea,Africa,1962,582.8419714
Equatorial Guinea,Africa,1967,915.5960025
Equatorial Guinea,Africa,1972,672.4122571
Equatorial Guinea,Africa,1977,958.5668124
Equatorial Guinea,Africa,1982,927.8253427
Equatorial Guinea,Africa,1987,966.8968149
Equatorial Guinea,Africa,1992,1132.055034
Equatorial Guinea,Africa,1997,2814.480755
Equatorial Guinea,Africa,2002,7703.4959
Equatorial Guinea,Africa,2007,12154.08975
Eritrea,Africa,1952,328.9405571
Eritrea,Africa,1957,344.1618859
Eritrea,Africa,1962,380.9958433
Eritrea,Africa,1967,468.7949699
Eritrea,Africa,1972,514.3242082
Eritrea,Africa,1977,505.7538077
Eritrea,Africa,1982,524.8758493
Eritrea,Africa,1987,521.1341333
Eritrea,Africa,1992,582.8585102
Eritrea,Africa,1997,913.47079
Eritrea,Africa,2002,765.3500015
Eritrea,Africa,2007,641.3695236
Ethiopia,Africa,1952,362.1462796
Ethiopia,Africa,1957,378.9041632
Ethiopia,Africa,1962,419.4564161
Ethiopia,Africa,1967,516.1186438
Ethiopia,Africa,1972,566.2439442
Ethiopia,Africa,1977,556.8083834
Ethiopia,Africa,1982,577.8607471
Ethiopia,Africa,1987,573.7413142
Ethiopia,Africa,1992,421.3534653
Ethiopia,Africa,1997,515.8894013
Ethiopia,Africa,2002,530.0535319
Ethiopia,Africa,2007,690.8055759
Finland,Europe,1952,6424.519071
Finland,Europe,1957,7545.415386
Finland,Europe,1962,9371.842561
Finland,Europe,1967,10921.63626
Finland,Europe,1972,14358.8759
Finland,Europe,1977,15605.42283
Finland,Europe,1982,18533.15761
Finland,Europe,1987,21141.01223
Finland,Europe,1992,20647.16499
Finland,Europe,1997,23723.9502
Finland,Europe,2002,28204.59057
Finland,Europe,2007,33207.0844
France,Europe,1952,7029.809327
France,Europe,1957,8662.834898
France,Europe,1962,10560.48553
France,Europe,1967,12999.91766
France,Europe,1972,16107.19171
France,Europe,1977,18292.63514
France,Europe,1982,20293.89746
France,Europe,1987,22066.44214
France,Europe,1992,24703.79615
France,Europe,1997,25889.78487
France,Europe,2002,28926.03234
France,Europe,2007,30470.0167
Gabon,Africa,1952,4293.476475
Gabon,Africa,1957,4976.198099
Gabon,Africa,1962,6631.459222
Gabon,Africa,1967,8358.761987
Gabon,Africa,1972,11401.94841
Gabon,Africa,1977,21745.57328
Gabon,Africa,1982,15113.36194
Gabon,Africa,1987,11864.40844
Gabon,Africa,1992,13522.15752
Gabon,Africa,1997,14722.84188
