country,continent,year,pop
Nigeria,Africa,2007,135031164
Norway,Europe,1952,3327728
Norway,Europe,1957,3491938
Norway,Europe,1962,3638919
Norway,Europe,1967,3786019
Norway,Europe,1972,3933004
Norway,Europe,1977,4043205
Norway,Europe,1982,4114787
Norway,Europe,1987,4186147
Norway,Europe,1992,4286357
Norway,Europe,1997,4405672
Norway,Europe,2002,4535591
Norway,Europe,2007,4627926
Oman,Asia,1952,507833
Oman,Asia,1957,561977
Oman,Asia,1962,628164
Oman,Asia,1967,714775
Oman,Asia,1972,829050
Oman,Asia,1977,1004533
Oman,Asia,1982,1301048
Oman,Asia,1987,1593882
Oman,Asia,1992,1915208
Oman,Asia,1997,2283635
Oman,Asia,2002,2713462
Oman,Asia,2007,3204897
Pakistan,Asia,1952,41346560
Pakistan,Asia,1957,46679944
Pakistan,Asia,1962,53100671
Pakistan,Asia,1967,60641899
Pakistan,Asia,1972,69325921
Pakistan,Asia,1977,78152686
Pakistan,Asia,1982,91462088
Pakistan,Asia,1987,105186881
Pakistan,Asia,1992,120065004
Pakistan,Asia,1997,135564834
Pakistan,Asia,2002,153403524
Pakistan,Asia,2007,169270617
Panama,Americas,1952,940080
Panama,Americas,1957,1063506
Panama,Americas,1962,1215725
Panama,Americas,1967,1405486
Panama,Americas,1972,1616384
Panama,Americas,1977,1839782
Panama,Americas,1982,2036305
Panama,Americas,1987,2253639
Panama,Americas,1992,2484997
Panama,Americas,1997,2734531
Panama,Americas,2002,2990875
Panama,Americas,2007,3242173
Paraguay,Americas,1952,1555876
Paraguay,Americas,1957,1770902
Paraguay,Americas,1962,2009813
Paraguay,Americas,1967,2287985
Paraguay,Americas,1972,2614104
Paraguay,Americas,1977,2984494
Paraguay,Americas,1982,3366439
Paraguay,Americas,1987,3886512
Paraguay,Americas,1992,4483945
Paraguay,Americas,1997,5154123
Paraguay,Americas,2002,5884491
Paraguay,Americas,2007,6667147
Peru,Americas,1952,8025700
Peru,Americas,1957,9146100
Peru,Americas,1962,10516500
Peru,Americas,1967,12132200
Peru,Americas,1972,13954700
Peru,Americas,1977,15990099
Peru,Americas,1982,18125129
Peru,Americas,1987,20195924
Peru,Americas,1992,22430449
Peru,Americas,1997,24748122
Peru,Americas,2002,26769436
Peru,Americas,2007,28674757
Philippines,Asia,1952,22438691
Philippines,Asia,1957,26072194
Philippines,Asia,1962,30325264
Philippines,Asia,1967,35356600
Philippines,Asia,1972,40850141
Philippines,Asia,1977,46850962
Philippines,Asia,1982,53456774
Philippines,Asia,1987,60017788
Philippines,Asia,1992,67185766
Philippines,Asia,1997,75012988
Philippines,Asia,2002,82995088
Philippines,Asia,2007,91077287
Poland,Europe,1952,25730551
Poland,Europe,1957,28235346
Poland,Europe,1962,30329617
Poland,Europe,1967,31785378
Poland,Europe,1972,33039545
Poland,Europe,1977,34621254
Poland,Europe,1982,36227381
Poland,Europe,1987,37740710
Poland,Europe,1992,38370697
Poland,Europe,1997,38654957
Poland,Europe,2002,38625976
Poland,Europe,2007,38518241
Portugal,Europe,1952,8526050
Portugal,Europe,1957,8817650
Portugal,Europe,1962,9019800
Portugal,Europe,1967,9103000
Portugal,Europe,1972,8970450
Portugal,Europe,1977,9662600
Portugal,Europe,1982,9859650
Portugal,Europe,1987,9915289
Portugal,Europe,1992,9927680
Portugal,Europe,1997,10156415
Portugal,Europe,2002,10433867
Portugal,Europe,2007,10642836
Puerto Rico,Americas,1952,2227000
Puerto Rico,Americas,1957,2260000
Puerto Rico,Americas,1962,2448046
Puerto Rico,Americas,1967,2648961
Puerto Rico,Americas,1972,2847132
Puerto Rico,Americas,1977,3080828
Puerto Rico,Americas,1982,3279001
Puerto Rico,Americas,1987,3444468
Puerto Rico,Americas,1992,3585176
Puerto Rico,Americas,1997,3759430
Puerto Rico,Americas,2002,3859606
Puerto Rico,Americas,2007,3942491
Reunion,Africa,1952,257700
Reunion,Africa,1957,308700
Reunion,Africa,1962,358900
Reunion,Africa,1967,414024
Reunion,Africa,1972,461633
Reunion,Africa,1977,492095
Reunion,Africa,1982,517810
Reunion,Africa,1987,562035
Reunion,Africa,1992,622191
Reunion,Africa,1997,684810
Reunion,Africa,2002,743981
Reunion,Africa,2007,798094
Romania,Europe,1952,16630000
Romania,Europe,1957,17829327
Romania,Europe,1962,18680721
Romania,Europe,1967,19284814
Romania,Europe,1972,20662648
Romania,Europe,1977,21658597
Romania,Europe,1982,22356726
Romania,Europe,1987,22686371
Romania,Europe,1992,22797027
Romania,Europe,1997,22562458
Romania,Europe,2002,22404337
Romania,Europe,2007,22276056
Rwanda,Africa,1952,2534927
Rwanda,Africa,1957,2822082
Rwanda,Africa,1962,3051242
Rwanda,Africa,1967,3451079
Rwanda,Africa,1972,3992121
Rwanda,Africa,1977,4657072
Rwanda,Africa,1982,5507565
Rwanda,Africa,1987,6349365
Rwanda,Africa,1992,7290203
Rwanda,Africa,1997,7212583
Rwanda,Africa,2002,7852401
Rwanda,Africa,2007,8860588
Sao Tome and Principe,Africa,1952,60011
Sao Tome and Principe,Africa,1957,61325
Sao Tome and Principe,Africa,1962,65345
Sao Tome and Principe,Africa,1967,70787
Sao Tome and Principe,Africa,1972,76595
Sao Tome and Principe,Africa,1977,86796
Sao Tome and Principe,Africa,1982,98593
Sao Tome and Principe,Africa,1987,110812
Sao Tome and Principe,Africa,1992,125911
Sao Tome and Principe,Africa,1997,145608
Sao Tome and Principe,Africa,2002,170372
Sao Tome and Principe,Africa,2007,199579
Saudi Arabia,Asia,1952,4005677
Saudi Arabia,Asia,1957,4419650
Saudi Arabia,Asia,1962,4943029
Saudi Arabia,Asia,1967,5618198
Saudi Arabia,Asia,1972,6472756
Saudi Arabia,Asia,1977,8128505
Saudi Arabia,Asia,1982,11254672
Saudi Arabia,Asia,1987,14619745
Saudi Arabia,Asia,1992,16945857
Saudi Arabia,Asia,1997,21229759
Saudi Arabia,Asia,2002,24501530
Saudi Arabia,Asia,2007,27601038
Senegal,Africa,1952,2755589
Senegal,Africa,1957,3054547
Senegal,Africa,1962,3430243
Senegal,Africa,1967,3965841
Senegal,Africa,1972,4588696
Senegal,Africa,1977,5260855
Senegal,Africa,1982,6147783
Senegal,Africa,1987,7171347
Senegal,Africa,1992,8307920
Senegal,Africa,1997,9535314
Senegal,Africa,2002,10870037
Senegal,Africa,2007,12267493
Serbia,Europe,1952,6860147
Serbia,Europe,1957,7271135
Serbia,Europe,1962,7616060
Serbia,Europe,1967,7971222
Serbia,Europe,1972,8313288
Serbia,Europe,1977,8686367
Serbia,Europe,1982,9032824
Serbia,Europe,1987,9230783
Serbia,Europe,1992,9826397
Serbia,Europe,1997,10336594
Serbia,Europe,2002,10111559
Serbia,Europe,2007,10150265
Sierra Leone,Africa,1952,2143249
Sierra Leone,Africa,1957,2295678
Sierra Leone,Africa,1962,2467895
Sierra Leone,Africa,1967,2662190
Sierra Leone,Africa,1972,2879013
Sierra Leone,Africa,1977,3140897
Sierra Leone,Africa,1982,3464522
Sierra Leone,Africa,1987,3868905
Sierra Leone,Africa,1992,4260884
Sierra Leone,Africa,1997,4578212
Sierra Leone,Africa,2002,5359092
Sierra Leone,Africa,2007,6144562
Singapore,Asia,1952,1127000
Singapore,Asia,1957,1445929
Singapore,Asia,1962,1750200
Singapore,Asia,1967,1977600
Singapore,Asia,1972,2152400
Singapore,Asia,1977,2325300
Singapore,Asia,1982,2651869
Singapore,Asia,1987,2794552
Singapore,Asia,1992,3235865
Singapore,Asia,1997,3802309
Singapore,Asia,2002,4197776
Singapore,Asia,2007,4553009
Slovak Republic,Europe,1952,3558137
Slovak Republic,Europe,1957,3844277
Slovak Republic,Europe,1962,4237384
Slovak Republic,Europe,1967,4442238
Slovak Republic,Europe,1972,4593433
Slovak Republic,Europe,1977,4827803
Slovak Republic,Europe,1982,5048043
Slovak Republic,Europe,1987,5199318
Slovak Republic,Europe,1992,5302888
Slovak Republic,Europe,1997,5383010
Slovak Republic,Europe,2002,5410052
Slovak Republic,Europe,2007,5447502
Slovenia,Europe,1952,1489518
Slovenia,Europe,1957,1533070
Slovenia,Europe,1962,1582962
Slovenia,Europe,1967,1646912
Slovenia,Europe,1972,1694510
Slovenia,Europe,1977,1746919
Slovenia,Europe,1982,1861252
Slovenia,Europe,1987,1945870
Slovenia,Europe,1992,1999210
Slovenia,Europe,1997,2011612
Slovenia,Europe,2002,2011497
Slovenia,Europe,2007,2009245
Somalia,Africa,1952,2526994
Somalia,Africa,1957,2780415
Somalia,Africa,1962,3080153
Somalia,Africa,1967,3428839
Somalia,Africa,1972,3840161
Somalia,Africa,1977,4353666
Somalia,Africa,1982,5828892
Somalia,Africa,1987,6921858
Somalia,Africa,1992,6099799
Somalia,Africa,1997,6633514
Somalia,Africa,2002,7753310
Somalia,Africa,2007,9118773
South Africa,Africa,1952,14264935
South Africa,Africa,1957,16151549
South Africa,Africa,1962,18356657
South Africa,Africa,1967,20997321
South Africa,Africa,1972,23935810
South Africa,Africa,1977,27129932
South Africa,Africa,1982,31140029
South Africa,Africa,1987,35933379
South Africa,Africa,1992,39964159
South Africa,Africa,1997,42835005
South Africa,Africa,2002,44433622
South Africa,Africa,2007,43997828
Spain,Europe,1952,28549870
Spain,Europe,1957,29841614
Spain,Europe,1962,31158061
Spain,Europe,1967,32850275
Spain,Europe,1972,34513161
Spain,Europe,1977,36439000
Spain,Europe,1982,37983310
Spain,Europe,1987,38880702
Spain,Europe,1992,39549438
Spain,Europe,1997,39855442
Spain,Europe,2002,40152517
Spain,Europe,2007,40448191
Sri Lanka,Asia,1952,7982342
Sri Lanka,Asia,1957,9128546
Sri Lanka,Asia,1962,10421936
Sri Lanka,Asia,1967,11737396
Sri Lanka,Asia,1972,13016733
Sri Lanka,Asia,1977,14116836
Sri Lanka,Asia,1982,15410151
Sri Lanka,Asia,1987,16495304
Sri Lanka,Asia,1992,17587060
Sri Lanka,Asia,1997,18698655
Sri Lanka,Asia,2002,19576783
Sri Lanka,Asia,2007,20378239
Sudan,Africa,1952,8504667
Sudan,Africa,1957,9753392
Sudan,Africa,1962,11183227
Sudan,Africa,1967,12716129
Sudan,Africa,1972,14597019
Sudan,Africa,1977,17104986
Sudan,Africa,1982,20367053
Sudan,Africa,1987,24725960
Sudan,Africa,1992,28227588
Sudan,Africa,1997,32160729
Sudan,Africa,2002,37090298
Sudan,Africa,2007,42292929
Swaziland,Africa,1952,290243
Swaziland,Africa,1957,326741
Swaziland,Africa,1962,370006
Swaziland,Africa,1967,420690
Swaziland,Africa,1972,480105
Swaziland,Africa,1977,551425
Swaziland,Africa,1982,649901
Swaziland,Africa,1987,779348
Swaziland,Africa,1992,962344
Swaziland,Africa,1997,1054486
Swaziland,Africa,2002,1130269
Swaziland,Africa,2007,1133066
Sweden,Europe,1952,7124673
Sweden,Europe,1957,7363802
Sweden,Europe,1962,7561588
Sweden,Europe,1967,7867931
Sweden,Europe,1972,8122293
Sweden,Europe,1977,8251648
Sweden,Europe,1982,8325260
Sweden,Europe,1987,8421403
Sweden,Europe,1992,8718867
Sweden,Europe,1997,8897619
Sweden,Europe,2002,8954175
Sweden,Europe,2007,9031088
Switzerland,Europe,1952,4815000
Switzerland,Europe,1957,5126000
Switzerland,Europe,1962,5666000
Switzerland,Europe,1967,6063000
Switzerland,Europe,1972,6401400
Switzerland,Europe,1977,6316424
Switzerland,Europe,1982,6468126
Switzerland,Europe,1987,6649942
Switzerland,Europe,1992,6995447
Switzerland,Europe,1997,7193761
Switzerland,Europe,2002,7361757
Switzerland,Europe,2007,7554661
Syria,Asia,1952,3661549
Syria,Asia,1957,4149908
Syria,Asia,1962,4834621
Syria,Asia,1967,5680812
Syria,Asia,1972,6701172
Syria,Asia,1977,7932503
Syria,Asia,1982,9410494
Syria,Asia,1987,11242847
Syria,Asia,1992,13219062
Syria,Asia,1997,15081016
Syria,Asia,2002,17155814
Syria,Asia,2007,19314747
Taiwan,Asia,1952,8550362
Taiwan,Asia,1957,10164215
Taiwan,Asia,1962,11918938
Taiwan,Asia,1967,13648692
Taiwan,Asia,1972,15226039
Taiwan,Asia,1977,16785196
Taiwan,Asia,1982,18501390
Taiwan,Asia,1987,19757799
Taiwan,Asia,1992,20686918
Taiwan,Asia,1997,21628605
Taiwan,Asia,2002,22454239
Taiwan,Asia,2007,23174294
Tanzania,Africa,1952,8322925
Tanzania,Africa,1957,9452826
Tanzania,Africa,1962,10863958
Tanzania,Africa,1967,12607312
Tanzania,Africa,1972,14706593
Tanzania,Africa,1977,17129565
Tanzania,Africa,1982,19844382
Tanzania,Africa,1987,23040630
Tanzania,Africa,1992,26605473
Tanzania,Africa,1997,30686889
Tanzania,Africa,2002,34593779
Tanzania,Africa,2007,38139640
Thailand,Asia,1952,21289402
Thailand,Asia,1957,25041917
Thailand,Asia,1962,29263397
Thailand,Asia,1967,34024249
Thailand,Asia,1972,39276153
Thailand,Asia,1977,44148285
Thailand,Asia,1982,48827160
Thailand,Asia,1987,52910342
Thailand,Asia,1992,56667095
Thailand,Asia,1997,60216677
Thailand,Asia,2002,62806748
Thailand,Asia,2007,65068149
Togo,Africa,1952,1219113
Togo,Africa,1957,1357445
Togo,Africa,1962,1528098
Togo,Africa,1967,1735550
Togo,Africa,1972,2056351
Togo,Africa,1977,2308582
Togo,Africa,1982,2644765
Togo,Africa,1987,3154264
Togo,Africa,1992,3747553
Togo,Africa,1997,4320890
Togo,Africa,2002,4977378
Togo,Africa,2007,5701579
Trinidad and Tobago,Americas,1952,662850
Trinidad and Tobago,Americas,1957,764900
Trinidad and Tobago,Americas,1962,887498
Trinidad and Tobago,Americas,1967,960155
Trinidad and Tobago,Americas,1972,975199
Trinidad and Tobago,Americas,1977,1039009
Trinidad and Tobago,Americas,1982,1116479
Trinidad and Tobago,Americas,1987,1191336
Trinidad and Tobago,Americas,1992,1183669
Trinidad and Tobago,Americas,1997,1138101
Trinidad and Tobago,Americas,2002,1101832
Trinidad and Tobago,Americas,2007,1056608
Tunisia,Africa,1952,3647735
Tunisia,Africa,1957,3950849
Tunisia,Africa,1962,4286552
Tunisia,Africa,1967,4786986
Tunisia,Africa,1972,5303507
Tunisia,Africa,1977,6005061
Tunisia,Africa,1982,6734098
Tunisia,Africa,1987,7724976
Tunisia,Africa,1992,8523077
Tunisia,Africa,1997,9231669
Tunisia,Africa,2002,9770575
Tunisia,Africa,2007,10276158
Turkey,Europe,1952,22235677
Turkey,Europe,1957,25670939
Turkey,Europe,1962,29788695
Turkey,Europe,1967,33411317
Turkey,Europe,1972,37492953
Turkey,Europe,1977,42404033
Turkey,Europe,1982,47328791
Turkey,Europe,1987,52881328
Turkey,Europe,1992,58179144
Turkey,Europe,1997,63047647
Turkey,Europe,2002,67308928
Turkey,Europe,2007,71158647
Uganda,Africa,1952,5824797
Uganda,Africa,1957,6675501
Uganda,Africa,1962,7688797
Uganda,Africa,1967,8900294
Uganda,Africa,1972,10190285
Uganda,Africa,1977,11457758
Uganda,Africa,1982,12939400
Uganda,Africa,1987,15283050
Uganda,Africa,1992,18252190
Uganda,Africa,1997,21210254
Uganda,Africa,2002,24739869
Uganda,Africa,2007,29170398
United Kingdom,Europe,1952,50430000
United Kingdom,Europe,1957,51430000
United Kingdom,Europe,1962,53292000
United Kingdom,Europe,1967,54959000
United Kingdom,Europe,1972,56079000
United Kingdom,Europe,1977,56179000
United Kingdom,Europe,1982,56339704
United Kingdom,Europe,1987,56981620
United Kingdom,Europe,1992,57866349
United Kingdom,Europe,1997,58808266
United Kingdom,Europe,2002,59912431
United Kingdom,Europe,2007,60776238
United States,Americas,1952,157553000
United States,Americas,1957,171984000
United States,Americas,1962,186538000
United States,Americas,1967,198712000
United States,Americas,1972,209896000
United States,Americas,1977,220239000
United States,Americas,1982,232187835
United States,Americas,1987,242803533
United States,Americas,1992,256894189
United States,Americas,1997,272911760
United States,Americas,2002,287675526
United States,Americas,2007,301139947
Uruguay,Americas,1952,2252965
Uruguay,Americas,1957,2424959
Uruguay,Americas,1962,2598466
Uruguay,Americas,1967,2748579
Uruguay,Americas,1972,2829526
Uruguay,Americas,1977,2873520
Uruguay,Americas,1982,2953997
Uruguay,Americas,1987,3045153
Uruguay,Americas,1992,3149262
Uruguay,Americas,1997,3262838
Uruguay,Americas,2002,3363085
Uruguay,Americas,2007,3447496
Venezuela,Americas,1952,5439568
Venezuela,Americas,1957,6702668
Venezuela,Americas,1962,8143375
Venezuela,Americas,1967,9709552
Venezuela,Americas,1972,11515649
Venezuela,Americas,1977,13503563
Venezuela,Americas,1982,15620766
Venezuela,Americas,1987,17910182
Venezuela,Americas,1992,20265563
Venezuela,Americas,1997,22374398
Venezuela,Americas,2002,24287670
Venezuela,Americas,2007,26084662
Vietnam,Asia,1952,26246839
Vietnam,Asia,1957,28998543
Vietnam,Asia,1962,33796140
Vietnam,Asia,1967,39463910
Vietnam,Asia,1972,44655014
Vietnam,Asia,1977,50533506
Vietnam,Asia,1982,56142181
Vietnam,Asia,1987,62826491
Vietnam,Asia,1992,69940728
Vietnam,Asia,1997,76048996
Vietnam,Asia,2002,80908147
Vietnam,Asia,2007,85262356
West Bank and Gaza,Asia,1952,1030585
West Bank and Gaza,Asia,1957,1070439
West Bank and Gaza,Asia,1962,1133134
West Bank and Gaza,Asia,1967,1142636
West Bank and Gaza,Asia,1972,1089572
West Bank and Gaza,Asia,1977,1261091
West Bank and Gaza,Asia,1982,1425876
West Bank and Gaza,Asia,1987,1691210
West Bank and Gaza,Asia,1992,2104779
West Bank and Gaza,Asia,1997,2826046
West Bank and Gaza,Asia,2002,3389578
West Bank and Gaza,Asia,2007,4018332
"Yemen, Rep.",Asia,1952,4963829
"Yemen, Rep.",Asia,1957,5498090
"Yemen, Rep.",Asia,1962,6120081
"Yemen, Rep.",Asia,1967,6740785
"Yemen, Rep.",Asia,1972,7407075
"Yemen, Rep.",Asia,1977,8403990
"Yemen, Rep.",Asia,1982,9657618
"Yemen, Rep.",Asia,1987,11219340
"Yemen, Rep.",Asia,1992,13367997
"Yemen, Rep.",Asia,1997,15826497
"Yemen, Rep.",Asia,2002,18701257
"Yemen, Rep.",Asia,2007,22211743
Zambia,Africa,1952,2672000
Zambia,Africa,1957,3016000
Zambia,Africa,1962,3421000
Zambia,Africa,1967,3900000
Zambia,Africa,1972,4506497
Zambia,Africa,1977,5216550
Zambia,Africa,1982,6100407
Zambia,Africa,1987,7272406
Zambia,Africa,1992,8381163
Zambia,Africa,1997,9417789
Zambia,Africa,2002,10595811
Zambia,Africa,2007,11746035
Zimbabwe,Africa,1952,3080907
Zimbabwe,Africa,1957,3646340
Zimbabwe,Africa,1962,4277736
Zimbabwe,Africa,1967,4995432
Zimbabwe,Africa,1972,5861135
Zimbabwe,Africa,1977,6642107
Zimbabwe,Africa,1982,7636524
Zimbabwe,Africa,1987,9216418
Zimbabwe,Africa,1992,10704340
Zimbabwe,Africa,1997,11404948
Zimbabwe,Africa,2002,11926563
Zimbabwe,Africa,2007,12311143
